author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300892872/;Москва;rent;flat;7;13;3;100.0;150000;0;Таганский; Большие Каменщики;4;Таганская
MC REALTY;real_estate_agent;https://www.cian.ru/rent/flat/270067893/;Москва;rent;flat;70;95;3;100.0;400000;0;Пресненский;набережная Пресненская;12;Деловой центр
Kalinka Group;real_estate_agent;https://www.cian.ru/rent/flat/158372995/;Москва;rent;flat;3;7;3;130.0;534856;0;Хамовники;Пречистенская набережная;17-19;Кропоткинская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302255945/;Москва;rent;flat;5;17;2;50.9;67900;0;; Самуила Маршака;19;Рассказовка
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302260149/;Москва;rent;flat;3;12;2;55.0;120000;0;Тверской;Оружейный переулок;5;Маяковская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/302088560/;Москва;rent;flat;9;13;3;120.0;200000;0;Нагатинский затон;Коломенская ;21К3;Кленовый бульвар
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301856881/;Москва;rent;flat;27;33;1;20.0;41900;0;Западное Дегунино;Ижорская ;6к6;Ховрино
Kalinka Group;real_estate_agent;https://www.cian.ru/rent/flat/300332140/;Москва;rent;flat;3;21;2;57.0;300000;0;Пресненский;2-я Звенигородская ;16;Улица 1905 года
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/295596292/;Москва;rent;flat;4;7;4;150.0;470000;0;Замоскворечье;Озерковская набережная;26;Новокузнецкая
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301789055/;Москва;rent;flat;4;8;3;100.0;150000;0;Дорогомилово;Бережковская набережная;12;Киевская
Liberty Estate;real_estate_agent;https://www.cian.ru/rent/flat/300788101/;Москва;rent;flat;1;7;4;345.0;500000;0;Можайский;проезд Загорского;11;Давыдково
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300565141/;Москва;rent;flat;2;5;4;175.0;350000;0;Мещанский;Цветной бульвар;16/1;Трубная
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302192633/;Москва;rent;flat;7;17;1;45.0;65000;0;Раменки;Мичуринский проспект;9К2;Ломоносовский проспект
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/297724387/;Москва;rent;flat;6;8;3;143.0;400000;0;Тверской;Тверская ;9;Охотный ряд
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302280636/;Москва;rent;flat;21;32;3;60.0;80000;0;Метрогородок;Открытое шоссе;18Ак1;Бульвар Рокоссовского
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302066872/;Москва;rent;flat;8;15;1;36.9;57700;0;; Саларьевская;10к1;Саларьево
HYDE Residences;real_estate_agent;https://www.cian.ru/rent/flat/301975816/;Москва;rent;flat;49;75;2;90.0;300000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302055377/;Москва;rent;flat;3;19;2;50.0;100000;0;Пресненский;Шмитовский проезд;39к1;Шелепиха
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302037055/;Москва;rent;flat;2;17;2;49.1;61700;0;;проспект Куприна;18к1;Бунинская аллея
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300323204/;Москва;rent;flat;5;5;2;45.7;48000;0;Северное Измайлово;5-я Парковая ;56К3;Щёлковская
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302267618/;Москва;rent;flat;3;12;2;55.0;120000;0;Тверской;Оружейный переулок;5;Маяковская
Ма-Трёшка;real_estate_agent;https://www.cian.ru/rent/flat/279653541/;Москва;rent;flat;1;19;1;24.0;39999;0;; Александры Монаховой;84к1;Бунинская аллея
BY Moscow City;real_estate_agent;https://www.cian.ru/rent/flat/276626903/;Москва;rent;flat;23;78;3;82.0;300000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Neva Towers;official_representative;https://www.cian.ru/rent/flat/296165550/;Москва;rent;flat;12;78;2;62.0;250000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301926107/;Москва;rent;flat;4;25;1;39.0;47500;0;Люблино;Люблинская ;72к3;Депо
Neva Towers;official_representative;https://www.cian.ru/rent/flat/283339403/;Москва;rent;flat;35;78;3;87.0;470000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Neva Towers;official_representative;https://www.cian.ru/rent/flat/302121788/;Москва;rent;flat;25;78;2;62.0;300000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301571545/;Москва;rent;flat;6;6;2;52.0;150000;0;Пресненский;Большой Патриарший переулок;10;Маяковская
Neva Towers;official_representative;https://www.cian.ru/rent/flat/302073596/;Москва;rent;flat;27;78;2;61.8;290000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Neva Towers;official_representative;https://www.cian.ru/rent/flat/271538850/;Москва;rent;flat;38;78;2;58.0;270000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/301832669/;Москва;rent;flat;29;32;1;36.0;64500;0;Богородское;Тюменский проезд;3к1;Бульвар Рокоссовского
Neva Towers;official_representative;https://www.cian.ru/rent/flat/291142437/;Москва;rent;flat;68;78;3;127.0;800000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Neva Towers;official_representative;https://www.cian.ru/rent/flat/291143544/;Москва;rent;flat;68;78;3;135.0;650000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302286313/;Москва;rent;flat;17;24;1;30.0;50000;0;; Родниковая;30к1;Саларьево
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301920936/;Москва;rent;flat;2;14;2;60.2;77000;0;;проспект Магеллана;4;Филатов Луг
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300913633/;Москва;rent;flat;12;17;3;72.7;88000;0;Черемушки; Наметкина;11;Новые Черёмушки
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/302218573/;Москва;rent;flat;3;5;3;94.0;150000;0;Мещанский;Трубная ;26к1;Цветной бульвар
ID 11286831;unknown;https://www.cian.ru/rent/flat/270270365/;Москва;rent;flat;2;5;3;98.1;150000;0;Перово; Металлургов;3;Перово
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302124040/;Москва;rent;flat;3;30;2;50.0;100000;0;Пресненский;Шмитовский проезд;39к1;Шелепиха
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302291802/;Москва;rent;flat;26;33;1;30.0;50000;0;Дмитровский;Лобненская ;13к3;Лианозово
CITYZEN;real_estate_agent;https://www.cian.ru/rent/flat/301504978/;Москва;rent;flat;61;75;3;229.0;450000;0;Пресненский;набережная Пресненская;8с1;Деловой центр
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/301064544/;Москва;rent;flat;57;75;3;150.0;600000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/301104908/;Москва;rent;flat;4;25;2;40.0;100000;0;Хорошевский; Маргелова;3к5;Беговая
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302254416/;Москва;rent;flat;2;14;3;83.0;95000;0;; Татьянин Парк;16к2;Говорово
CITYZEN;real_estate_agent;https://www.cian.ru/rent/flat/302001036/;Москва;rent;flat;49;75;2;101.7;300000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302001522/;Москва;rent;flat;8;23;1;31.1;57700;0;Текстильщики;1-й Грайвороновский проезд;13к3;Текстильщики
Point Estate Город;real_estate_agent;https://www.cian.ru/rent/flat/300329948/;Москва;rent;flat;23;38;2;55.0;110000;0;Хорошевский;Хорошевское шоссе;16к2;Беговая
ID 9936598;realtor;https://www.cian.ru/rent/flat/299333578/;Москва;rent;flat;33;75;2;105.0;350000;0;Пресненский;набережная Пресненская;8с1;Деловой центр
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301732182/;Москва;rent;flat;30;33;1;19.8;59700;0;Нагатино-Садовники;2-й Нагатинский проезд;2/2к2;Кленовый бульвар
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/298279498/;Москва;rent;flat;16;20;4;156.0;300000;0;Якиманка; Шаболовка;10к1;Шаболовская
Паскаль;real_estate_agent;https://www.cian.ru/rent/flat/302327637/;Москва;rent;flat;2;23;1;45.0;60000;0;Чертаново Южное;Варшавское шоссе;168;Лесопарковая
Point Estate Город;real_estate_agent;https://www.cian.ru/rent/flat/302078741/;Москва;rent;flat;16;27;2;48.0;100000;0;Нагорный;Электролитный проезд;7;Нагорная
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/302218907/;Москва;rent;flat;8;9;4;100.0;150000;0;Беговой; Правды;7/9;Белорусская
Ма-Трёшка;real_estate_agent;https://www.cian.ru/rent/flat/300444186/;Москва;rent;flat;13;14;1;26.0;64999;0;Сокол;Балтийская ;15;Сокол
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301912036/;Москва;rent;flat;5;8;4;145.0;270000;0;Хамовники; Остоженка;5;Кропоткинская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/302287436/;Москва;rent;flat;11;14;2;55.0;160000;0;Беговой;Верхняя ;6;Белорусская
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302316207/;Москва;rent;flat;7;22;3;80.0;75000;0;Выхино-Жулебино;Пронская ;9К2;Лермонтовский проспект
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/302331447/;Москва;rent;flat;1;5;4;100.0;180000;0;Хамовники; Плющиха;43-47;Киевская
Monumental Group;real_estate_agent;https://www.cian.ru/rent/flat/302333181/;Москва;rent;flat;9;11;2;54.0;150000;0;Басманный;Большая Почтовая ;32к2;Электрозаводская
DOORS AGENCY;real_estate_agent;https://www.cian.ru/rent/flat/301387293/;Москва;rent;flat;10;25;2;84.0;80000;0;Митино;Пятницкое шоссе;15к1;Волоколамская
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302323414/;Москва;rent;flat;5;14;3;78.0;140000;0;Лефортово;шоссе Энтузиастов;3к2;Площадь Ильича
HAPPINESS;real_estate_agent;https://www.cian.ru/rent/flat/298408295/;Москва;rent;flat;16;21;4;150.0;700000;0;Пресненский; Костикова;4к4;Улица 1905 года
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/302316669/;Москва;rent;flat;6;9;1;35.0;85000;0;Аэропорт; 8 Марта;7/5;Гражданская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/302330677/;Москва;rent;flat;1;5;3;80.0;145000;0;Хамовники; Плющиха;43-47;Киевская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/302316524/;Москва;rent;flat;24;62;2;40.0;125000;0;Хорошево-Мневники; Народного Ополчения;15К2;Народное Ополчение
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/299714375/;Москва;rent;flat;13;23;3;100.0;99000;0;Солнцево;Производственная ;2;Солнцево
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/302316326/;Москва;rent;flat;2;8;2;90.0;330000;0;Хамовники;переулок Хилков;1;Парк Культуры
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/302348134/;Москва;rent;flat;14;15;2;50.0;160000;0;Хорошевский;Ходынский бульвар;2;ЦСКА
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302145381/;Москва;rent;flat;7;22;1;46.0;100000;0;Хорошевский; Маргелова;3к1;Беговая
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/302311022/;Москва;rent;flat;7;22;2;40.0;125000;0;Алексеевский;Новоалексеевская ;16к4;Алексеевская
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/299944185/;Москва;rent;flat;3;5;4;100.0;210000;0;Хамовники; Остоженка;7С1;Кропоткинская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/302241192/;Москва;rent;flat;12;24;2;43.0;115000;0;Донской;Новоданиловская набережная;8;Тульская
HAPPINESS;real_estate_agent;https://www.cian.ru/rent/flat/302105300/;Москва;rent;flat;12;20;2;65.0;220000;0;Беговой;Бумажный проезд;4;Белорусская
Novel Estates;real_estate_agent;https://www.cian.ru/rent/flat/301301308/;Москва;rent;flat;31;37;3;113.0;550000;0;Хорошевский;Ленинградский проспект;37/5;Аэропорт
CITYZEN;real_estate_agent;https://www.cian.ru/rent/flat/301342027/;Москва;rent;flat;40;68;2;70.0;225000;0;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити
MC REALTY;real_estate_agent;https://www.cian.ru/rent/flat/301568236/;Москва;rent;flat;48;78;2;65.0;260000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/301895345/;Москва;rent;flat;4;5;3;160.0;450000;0;Таганский; Станиславского;11;Таганская
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/rent/flat/299465816/;Москва;rent;flat;5;6;4;160.0;350000;0;Тверской;Тверская ;28к1;Маяковская
CITYZEN;real_estate_agent;https://www.cian.ru/rent/flat/301806399/;Москва;rent;flat;47;85;3;189.0;415000;0;Пресненский;1-й Красногвардейский проезд;21с2;Деловой центр
Delight  Realty;real_estate_agent;https://www.cian.ru/rent/flat/294776353/;Москва;rent;flat;4;6;3;161.0;350000;0;Замоскворечье;Большая Пионерская ;20;Павелецкая
Delight  Realty;real_estate_agent;https://www.cian.ru/rent/flat/301259429/;Москва;rent;flat;3;13;2;92.0;350000;0;Арбат; Новый Арбат;32;Смоленская
Point Estate Город;real_estate_agent;https://www.cian.ru/rent/flat/299295096/;Москва;rent;flat;6;7;4;225.0;450000;0;Басманный;переулок Лялин;19К1;Курская
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/302081574/;Москва;rent;flat;4;9;3;65.0;60000;0;Ярославский;Федоскинская ;6;Медведково
Delight  Realty;real_estate_agent;https://www.cian.ru/rent/flat/302335710/;Москва;rent;flat;17;18;4;215.0;550000;0;Аэропорт;Ленинградский проспект;76К1;Сокол
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/302288258/;Москва;rent;flat;2;27;2;44.0;95000;0;Хорошево-Мневники; Мневники;5;Народное Ополчение
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302002811/;Москва;rent;flat;3;5;1;40.0;65000;0;Филевский парк;Новозаводская ;25к2;Багратионовская
Penny Lane Realty;real_estate_agent;https://www.cian.ru/rent/flat/302299655/;Москва;rent;flat;5;9;4;157.0;300000;0;Тверской;Цветной бульвар;15к2;Цветной бульвар
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/301823653/;Москва;rent;flat;15;30;2;45.0;70000;0;Южнопортовый;Волгоградский проспект;32/5к1;Угрешская
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/299709981/;Москва;rent;flat;13;23;3;105.0;95000;0;Солнцево;Производственная ;2;Солнцево
ID 164713;realtor;https://www.cian.ru/rent/flat/298869540/;Москва;rent;flat;3;17;2;68.0;300000;0;Пресненский;Звенигородское шоссе;11;Улица 1905 года
МОСКВА СИТИ;real_estate_agent;https://www.cian.ru/rent/flat/301364486/;Москва;rent;flat;74;95;1;65.0;230000;0;Пресненский;набережная Пресненская;12;Деловой центр
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/301995640/;Москва;rent;flat;10;35;3;80.0;150000;0;Останкинский; Годовикова;11к2;Алексеевская
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/rent/flat/291111292/;Москва;rent;flat;5;5;4;275.0;800000;0;Пресненский;Тверской бульвар;9;Пушкинская
Delight  Realty;real_estate_agent;https://www.cian.ru/rent/flat/301960328/;Москва;rent;flat;5;7;4;150.0;270000;0;Хамовники; Остоженка;5;Кропоткинская
DOORS AGENCY;real_estate_agent;https://www.cian.ru/rent/flat/301617249/;Москва;rent;flat;19;22;2;75.0;159000;0;Раменки;Минская ;1ГК1;Ломоносовский проспект
МОСКВА СИТИ;real_estate_agent;https://www.cian.ru/rent/flat/300371925/;Москва;rent;flat;21;78;3;92.0;370000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
МОСКВА СИТИ;real_estate_agent;https://www.cian.ru/rent/flat/302088889/;Москва;rent;flat;46;78;2;78.0;300000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
МОСКВА СИТИ;real_estate_agent;https://www.cian.ru/rent/flat/301314043/;Москва;rent;flat;34;78;2;68.0;240000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
МОСКВА СИТИ;real_estate_agent;https://www.cian.ru/rent/flat/300379986/;Москва;rent;flat;62;78;3;120.0;480000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
NIKA ESTATE;real_estate_agent;https://www.cian.ru/rent/flat/302133456/;Москва;rent;flat;17;21;3;95.0;400000;0;Пресненский;Мантулинская ;9к6;Москва-Сити
МОСКВА СИТИ;real_estate_agent;https://www.cian.ru/rent/flat/301309627/;Москва;rent;flat;35;78;2;67.0;250000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
HYDE Residences;real_estate_agent;https://www.cian.ru/rent/flat/301809195/;Москва;rent;flat;68;85;3;196.0;400000;0;Пресненский;1-й Красногвардейский проезд;21с2;Деловой центр
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301707797/;Москва;rent;flat;14;20;2;53.1;78200;0;Алтуфьевский;Алтуфьевское шоссе;64В;Бибирево
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/302254377/;Москва;rent;flat;4;5;4;138.0;200000;0;Замоскворечье;Новокузнецкая ;33С2;Павелецкая
Novel Estates;real_estate_agent;https://www.cian.ru/rent/flat/301977247/;Москва;rent;flat;3;42;2;64.0;300000;0;Хорошевский;Ленинградский проспект;37/3;Аэропорт
BOYKOV Company;real_estate_agent;https://www.cian.ru/rent/flat/293961620/;Москва;rent;flat;18;29;3;82.0;220000;0;Филевский парк;Большая Филевская ;3к1;Фили
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301231309/;Москва;rent;flat;17;33;1;20.0;44900;0;Нижегородский;Новохохловская ;15к3;Калитники
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302211753/;Москва;rent;flat;6;24;2;55.0;100000;0;Покровское-Стрешнево;Волоколамское шоссе;71/13к1;Спартак
HYDE Residences;real_estate_agent;https://www.cian.ru/rent/flat/299115531/;Москва;rent;flat;50;85;2;92.0;250000;0;Пресненский;1-й Красногвардейский проезд;21с2;Деловой центр
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302173181/;Москва;rent;flat;8;17;1;27.0;35800;0;; Александры Монаховой;90к6;Бунинская аллея
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/301895447/;Москва;rent;flat;21;42;2;120.0;250000;0;Раменки; Лобачевского;120к1;Аминьевская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301246163/;Москва;rent;flat;5;6;3;140.0;270000;0;Мещанский;переулок Большой Головин;2;Трубная
ZIP Realty;real_estate_agent;https://www.cian.ru/rent/flat/300994286/;Москва;rent;flat;3;5;2;59.0;80000;0;Дорогомилово;Студенческая ;30К2;Кутузовская
MERSI;real_estate_agent;https://www.cian.ru/rent/flat/252856040/;Москва;rent;flat;53;75;2;95.1;340000;0;Пресненский;1-й Красногвардейский проезд;15;Москва-Сити
Kalinka Group;real_estate_agent;https://www.cian.ru/rent/flat/162131949/;Москва;rent;flat;3;5;3;264.0;1200000;0;Арбат;Борисоглебский переулок;13С3;Арбатская
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302268217/;Москва;rent;flat;22;23;2;55.0;75000;0;Проспект Вернадского;проспект Вернадского;67;Проспект Вернадского
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/rent/flat/300650056/;Москва;rent;flat;13;13;3;159.0;400000;0;Арбат;1-й Смоленский переулок;17;Смоленская
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/301807428/;Москва;rent;flat;4;10;3;90.0;420000;0;Тверской;Новослободская ;24Ас2;Менделеевская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/302346613/;Москва;rent;flat;3;7;3;125.0;300000;0;Хамовники;1-й Зачатьевский переулок;5;Парк Культуры
MERSI;real_estate_agent;https://www.cian.ru/rent/flat/261416334/;Москва;rent;flat;56;75;2;90.0;350000;0;Пресненский;1-й Красногвардейский проезд;15;Москва-Сити
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302267804/;Москва;rent;flat;2;9;2;65.0;130000;0;Нагатинский затон; Корабельная;17к2;Нагатинский Затон
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/300932041/;Москва;rent;flat;7;15;3;82.0;250000;0;Беговой; 1-я Ямского Поля;1к1;Белорусская
VISTA Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/302238150/;Москва;rent;flat;4;5;3;145.0;200000;0;Замоскворечье;Новокузнецкая ;33С2;Павелецкая
CITYZEN;real_estate_agent;https://www.cian.ru/rent/flat/301339440/;Москва;rent;flat;25;85;2;80.0;200000;0;Пресненский;1-й Красногвардейский проезд;21с2;Деловой центр
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301316526/;Москва;rent;flat;3;7;1;33.7;43900;0;; Усадебный Парк;5;Филатов Луг
Kalinka Group;real_estate_agent;https://www.cian.ru/rent/flat/298643999/;Москва;rent;flat;3;21;2;65.0;320000;0;Пресненский; Костикова;4к1;Улица 1905 года
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/295924054/;Москва;rent;flat;5;9;4;136.0;330000;0;Арбат;Трубниковский переулок;30С1;Баррикадная
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301138577/;Москва;rent;flat;5;33;2;52.0;80000;0;Гольяново;Амурская ;2Ак3;Черкизовская
Паскаль;real_estate_agent;https://www.cian.ru/rent/flat/301147996/;Москва;rent;flat;3;25;2;40.0;100000;0;Хорошевский; Маргелова;3к5;Беговая
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/302137353/;Москва;rent;flat;2;10;4;125.0;230000;0;Дорогомилово;Платовская ;4;Киевская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301658377/;Москва;rent;flat;12;13;1;36.6;72000;0;Покровское-Стрешнево;Волоколамское шоссе;71/22к2;Спартак
MERSI;real_estate_agent;https://www.cian.ru/rent/flat/300861604/;Москва;rent;flat;9;10;4;125.8;450000;0;Беговой; 1-я Ямского Поля;1к1;Белорусская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/302143151/;Москва;rent;flat;4;28;2;64.0;200000;0;Филевский парк; Василисы Кожиной;13;Парк Победы
VISTA Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300713099/;Москва;rent;flat;5;9;4;145.0;330000;0;Арбат;Трубниковский переулок;30С1;Пушкинская
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302103215/;Москва;rent;flat;8;14;2;90.0;140000;0;Ростокино;Сельскохозяйственная ;16к1;Ботанический сад
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302215667/;Москва;rent;flat;5;26;2;45.0;80000;0;Нижегородский;Газгольдерная ;10;Нижегородская
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302310017/;Москва;rent;flat;2;23;1;50.0;60000;0;Чертаново Южное;Варшавское шоссе;168;Лесопарковая
Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/rent/flat/302133993/;Москва;rent;flat;2;10;4;130.0;230000;0;Дорогомилово;Платовская ;4;Киевская
ZIP Realty;real_estate_agent;https://www.cian.ru/rent/flat/301854439/;Москва;rent;flat;5;10;2;60.0;100000;0;Дорогомилово;Кутузовский проспект;10;Киевская
Delight  Realty;real_estate_agent;https://www.cian.ru/rent/flat/299851990/;Москва;rent;flat;8;9;3;150.0;450000;0;Пресненский; Спиридоновка;15;Тверская
Капиталъ-Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/302021340/;Москва;rent;flat;7;7;4;185.0;900000;0;Замоскворечье;Садовническая ;57С1;Новокузнецкая
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301643187/;Москва;rent;flat;14;33;2;50.3;83300;0;Очаково-Матвеевское;Очаковское шоссе;5к4;Давыдково
Стоун Бридж эстейт;real_estate_agent;https://www.cian.ru/rent/flat/301723761/;Москва;rent;flat;11;20;4;150.0;200000;0;Тимирязевский;Тимирязевская ;8к2;Дмитровская
Point Estate Город;real_estate_agent;https://www.cian.ru/rent/flat/302032584/;Москва;rent;flat;4;13;2;59.0;200000;0;Филевский парк; Василисы Кожиной;13;Парк Победы
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302276060/;Москва;rent;flat;12;17;1;31.6;47500;0;; Александры Монаховой;85к2;Бунинская аллея
Delight  Realty;real_estate_agent;https://www.cian.ru/rent/flat/301016159/;Москва;rent;flat;6;8;4;125.0;280000;0;Пресненский; Николаева;4;Краснопресненская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/301560741/;Москва;rent;flat;8;31;2;46.0;80000;0;Богородское;Тюменский проезд;3к1;Бульвар Рокоссовского
АВИА-АПАРТ;real_estate_agent;https://www.cian.ru/rent/flat/300415917/;Москва;rent;flat;2;15;2;47.0;113900;0;Хорошевский;Ходынский бульвар;20А;ЦСКА
Point Estate Город;real_estate_agent;https://www.cian.ru/rent/flat/302293347/;Москва;rent;flat;4;5;4;147.0;200000;0;Замоскворечье;Новокузнецкая ;33С2;Павелецкая
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/302179740/;Москва;rent;flat;8;11;3;167.0;450000;0;Тверской;3-я Тверская-Ямская ;10;Маяковская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302084778/;Москва;rent;flat;6;17;1;23.2;45000;0;; Александры Монаховой;91к2;Бунинская аллея
Penny Lane Realty;real_estate_agent;https://www.cian.ru/rent/flat/300469933/;Москва;rent;flat;6;8;4;125.0;280000;0;Пресненский; Николаева;4;Краснопресненская
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302339873/;Москва;rent;flat;1;5;1;15.0;50000;0;Хамовники; Ефремова;22;Спортивная
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301428236/;Москва;rent;flat;26;33;1;49.8;67900;0;Рязанский; Михайлова;30Ак6;Окская
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302274751/;Москва;rent;flat;5;8;2;50.0;53000;0;;бульвар Скандинавский;19;Бульвар Адмирала Ушакова
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302239146/;Москва;rent;flat;4;12;1;35.0;45000;0;Западное Дегунино; Маршала Федоренко;14К4;Ховрино
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301352886/;Москва;rent;flat;12;16;2;58.3;73000;0;; Большое Понизовье;14;Филатов Луг
